大区,国区,国家,工厂编码,工厂名称,计划节点编码,计划节点名称,计划节点类型,物料编码,物料描述,频次类型,M月份,M月生效算法,M月算法解释说明,M月预测值,M月实际值,M月准确度
非洲大区事业部(R05),南非国区*(N022),莫桑比克(MZ),CV01,三一莫桑比克工厂,CV01_8001,莫桑比克国家仓,CDC,60203802,电缆22944148 VOLVO,,202510,加权移动平均法,,0.1282,0.0,0.0
非洲大区事业部(R05),南非国区*(N022),莫桑比克(MZ),CV01,三一莫桑比克工厂,CV01_8001,莫桑比克国家仓,CDC,60199267,控制单元20959036,,202510,加权移动平均法,,0.1282,0.0,0.0
非洲大区事业部(R05),南非国区*(N022),莫桑比克(MZ),CV01,三一莫桑比克工厂,CV01_8001,莫桑比克国家仓,CDC,60033332,可编程控制器CR0200 IFM 80点,,202510,加权移动平均法,,0.1282,0.0,0.0
非洲大区事业部(R05),南非国区*(N022),莫桑比克(MZ),CV01,三一莫桑比克工厂,CV01_8001,莫桑比克国家仓,CDC,10877920,刀片PQ190C.5-1,,202510,加权移动平均法,,0.2821,0.0,0.0
非洲大区事业部(R05),南非国区*(N022),莫桑比克(MZ),CV01,三一莫桑比克工厂,CV01_8001,莫桑比克国家仓,CDC,10841438,齿套PQ190C.39.1.5-2,,202510,加权移动平均法,,0.7051,0.0,0.0
非洲大区事业部(R05),南非国区*(N022),南非(ZA),BY01,三一南非工厂,BY01_8001,南非中心仓,CDC,60222018,压力开关0110-42004-1-016/100bar,慢流件,202510,加权移动平均法,,0.2564,0.0,0.0
非洲大区事业部(R05),南非国区*(N022),南非(ZA),BY01,三一南非工厂,BY01_8001,南非中心仓,CDC,60221356,胶管60221356,不动件,202510,加权移动平均法,,0.1026,0.0,0.0
非洲大区事业部(R05),南非国区*(N022),南非(ZA),BY01,三一南非工厂,BY01_8001,南非中心仓,CDC,60220899,警示灯L-10-24,慢流件,202510,加权移动平均法,,2.641,0.0,0.0
非洲大区事业部(R05),南非国区*(N022),南非(ZA),BY01,三一南非工厂,BY01_8001,南非中心仓,CDC,60220399,隔套77000021,慢流件,202510,加权移动平均法,,0.2308,0.0,0.0
非洲大区事业部(R05),南非国区*(N022),南非(ZA),BY01,三一南非工厂,BY01_8001,南非中心仓,CDC,60218598,点火开关95060-24,慢流件,202510,加权移动平均法,,0.3205,0.0,0.0
非洲大区事业部(R05),南非国区*(N022),南非(ZA),BY01,三一南非工厂,BY01_8001,南非中心仓,CDC,60217496K,斗杆油缸K维修包JSY46-DG-wxb,中流件,202510,移动平均法,,0.3333,0.0,0.0
非洲大区事业部(R05),南非国区*(N022),南非(ZA),BY01,三一南非工厂,BY01_8001,南非中心仓,CDC,60217494K,斗杆油缸维修包JSY36-DG,中流件,202510,移动平均法,,0.1667,2.0,8.34
非洲大区事业部(R05),南非国区*(N022),南非(ZA),BY01,三一南非工厂,BY01_8001,南非中心仓,CDC,60217141,压力传感器5MPa-5V-V2-G3/8-SUM-D,中流件,202510,一次指数平滑法,,3.3329,20.0,16.66
非洲大区事业部(R05),南非国区*(N022),南非(ZA),BY01,三一南非工厂,BY01_8001,南非中心仓,CDC,60217140,压力传感器50MPa-5V-V2-G3/8-SUM D,快流件,202510,算术平均法,,5.6667,20.0,28.33
非洲大区事业部(R05),南非国区*(N022),南非(ZA),BY01,三一南非工厂,BY01_8001,南非中心仓,CDC,60216402,下视镜AE-11,慢流件,202510,一次指数平滑法,,0.139,0.0,0.0
非洲大区事业部(R05),南非国区*(N022),南非(ZA),BY01,三一南非工厂,BY01_8001,南非中心仓,CDC,60216115,斗杆油缸JSY36-DG(Ⅱ),慢流件,202510,算术平均法,,0.0833,0.0,0.0
非洲大区事业部(R05),南非国区*(N022),南非(ZA),BY01,三一南非工厂,BY01_8001,南非中心仓,CDC,60215655,中间继电器897-1AH-CD1 12V SONG CHUAN,慢流件,202510,加权移动平均法,,1.8974,0.0,0.0
非洲大区事业部(R05),南非国区*(N022),南非(ZA),BY01,三一南非工厂,BY01_8001,南非中心仓,CDC,60215481,液位计YB-M42×1.5-SYKJ,慢流件,202510,加权移动平均法,,0.0385,0.0,0.0
非洲大区事业部(R05),南非国区*(N022),南非(ZA),BY01,三一南非工厂,BY01_8001,南非中心仓,CDC,60215480,液压滤芯HC2286FKS12H50YT,慢流件,202510,加权移动平均法,,2.0513,0.0,0.0
非洲大区事业部(R05),南非国区*(N022),南非(ZA),BY01,三一南非工厂,BY01_8001,南非中心仓,CDC,60215148,耐磨垫片3454043,,202510,加权移动平均法,,0.3077,0.0,0.0
非洲大区事业部(R05),南非国区*(N022),南非(ZA),BY01,三一南非工厂,BY01_8001,南非中心仓,CDC,60214468,充电机34368-03800,慢流件,202510,算术平均法,,0.0833,0.0,0.0
非洲大区事业部(R05),南非国区*(N022),南非(ZA),BY01,三一南非工厂,BY01_8001,南非中心仓,CDC,60214463,主轴上瓦34348-07400,慢流件,202510,加权移动平均法,,0.0769,0.0,0.0
非洲大区事业部(R05),南非国区*(N022),南非(ZA),BY01,三一南非工厂,BY01_8001,南非中心仓,CDC,60214461,节温器34346-11501,慢流件,202510,加权移动平均法,,0.0128,0.0,0.0
非洲大区事业部(R05),南非国区*(N022),南非(ZA),BY01,三一南非工厂,BY01_8001,南非中心仓,CDC,60214412,油封总成34312-00080,慢流件,202510,加权移动平均法,,0.1538,0.0,0.0
非洲大区事业部(R05),南非国区*(N022),南非(ZA),BY01,三一南非工厂,BY01_8001,南非中心仓,CDC,60214357,起动器32R66-00101 24V-6.5KW,慢流件,202510,算术平均法,,0.25,0.0,0.0
非洲大区事业部(R05),南非国区*(N022),南非(ZA),BY01,三一南非工厂,BY01_8001,南非中心仓,CDC,60214320,水泵总成32R45-00010,慢流件,202510,加权移动平均法,,0.1282,0.0,0.0
非洲大区事业部(R05),南非国区*(N022),南非(ZA),BY01,三一南非工厂,BY01_8001,南非中心仓,CDC,60214251K,皮带32F49-00100,慢流件,202510,算术平均法,,1.0,0.0,0.0
非洲大区事业部(R05),南非国区*(N022),南非(ZA),BY01,三一南非工厂,BY01_8001,南非中心仓,CDC,60214222,机油喷嘴32F07-01200,慢流件,202510,加权移动平均法,,0.3846,0.0,0.0
非洲大区事业部(R05),南非国区*(N022),南非(ZA),BY01,三一南非工厂,BY01_8001,南非中心仓,CDC,60214066,空调控制面板SH006-8114-006 手动,慢流件,202510,移动平均法,,0.3333,0.0,0.0
非洲大区事业部(R05),南非国区*(N022),南非(ZA),BY01,三一南非工厂,BY01_8001,南非中心仓,CDC,60213978,集尘嘴P826060,慢流件,202510,算术平均法,,0.5,0.0,0.0
非洲大区事业部(R05),南非国区*(N022),南非(ZA),BY01,三一南非工厂,BY01_8001,南非中心仓,CDC,60213977,空滤盖P836956,慢流件,202510,算术平均法,,0.0833,0.0,0.0
非洲大区事业部(R05),南非国区*(N022),南非(ZA),BY01,三一南非工厂,BY01_8001,南非中心仓,CDC,60213515,胶管4SH32-SFS-SFS90(H130)-1700Q/SY1102,不动件,202510,加权移动平均法,,0.3077,0.0,0.0
非洲大区事业部(R05),南非国区*(N022),南非(ZA),BY01,三一南非工厂,BY01_8001,南非中心仓,CDC,60213513,胶管R15 32-SFS-SFS90(H130)-1490Q/SY1102,不动件,202510,加权移动平均法,,0.1026,0.0,0.0
非洲大区事业部(R05),南非国区*(N022),南非(ZA),BY01,三一南非工厂,BY01_8001,南非中心仓,CDC,60212522,减速机TZ190,慢流件,202510,加权移动平均法,,0.2308,0.0,0.0
非洲大区事业部(R05),南非国区*(N022),南非(ZA),BY01,三一南非工厂,BY01_8001,南非中心仓,CDC,60211508,旋钮开关DXSDW-EC-08-J,慢流件,202510,加权移动平均法,,0.0641,0.0,0.0
非洲大区事业部(R05),南非国区*(N022),南非(ZA),BY01,三一南非工厂,BY01_8001,南非中心仓,CDC,60211152,胶管1SN08-DKOL-DKOL90-2350,不动件,202510,加权移动平均法,,0.1538,0.0,0.0
